respuesta,emocion,pregunta
Se siente uno rechazado quizá pero trato de no tomarmelo enserio,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
No sentí atención y me dolió pero sobre todo me molestó,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Me pusieron una calificación que no merecía, debido a que la profesora no tolero que le corrigiera cuando ella misma había dicho que se le podía hacer correcciones, no me quedo de otra más que aceptar mi 6 ya que como tal no había pruebas que me ayudarán a qué me cambiara mi calificación ya que había sido en línea y no había grabaciones al respecto",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Pues lo típico dar demasiado amor a alguien que no lo valora y pues al principio cuando pasaba si se sentía feo pero pues ya ahorita cuando pasa es como de x la vida sigue,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Cuando pedí apoyo por un problema familiar y tuve que solucionarlo todo yo solo mientras los demás que también estaban dentro del problema no me apoyaron en ningún momento,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Le reclame mi parte y al dármela me fui y no hablé más del tema,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Igual en el trabajo, sobre todo en la cuestión de hacerme trabajar después de mi hora de salida, y sin pagar ese tiempo como tiempo extra",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Pues es más que nada la realción que hay entre mi familia que es lo que en muchas ocasiones siento que es algo injusto sobre todo por la preferencia de trato que existe y en otras ocaciones reacciono sobre todo de manera defensiva o muy seca o sin expresiones,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Con enojo pero tuve q mantener una postura tranquila,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me enojé y hablé al respecto,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Consideraba que no había tenido la culpa de los errores de otras personas y me sentía preocupado por no poder cambiarlo,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Perdí la confianza en la persona.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Sentí molestia pero no expuse mi malestar libremente,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Que prometan cosas o que si ya habías llegado un acuerdo con esa persona y al final se le olvida, no va o ni siquiera te avisa eso molesta y se me hace muy injusto.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Le dije lo que sentía y estaba molesto,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Han sido muchas veces pero aveces no tienes que tomar la justicia por tus propias manos si no pues estar tranquilo y dejártelo a Dios,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Explote,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En un trabajo, nos estaban quitando el crédito hacia un trabajo que la otra persona realizó algo pequeño",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Al inicio lo ignoro, aunque lo sepa, no le tomaba importancia, ahora, tampoco solamente lo analizo",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Al inicio con mucha molestia, después trato de ver en que me equivoqué",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"hasta cierto punto, no siento que hayan sido injustos o justos, me considero muy conformista y se que lo que me ocurra es por algo o por que lo merezco por mis acciones",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Por lo regular me sucede mucho, a lo que siempre doy mi espacio y dejo de hablar con es persona. 
Usualmente prefiero evitar los conflictos porque no me gusta pelear. Pero en caso de que sea insistente si me defiendo.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
No lo recuerdo bien lo que pasó pero la verdad fue muy frustrante el perder amigos,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Sentí un gran malestar con esa persona.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Te sientes decepcionado y sabes que ya no puedes confiar en esa persona y eso muchas veces te lleva a no confiar en otras personas aunque no te hayan decepcionado,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Si bien me sentí mal, traté de entender la situación, pensé que, aunque esa persona fue injusta conmigo, fue para ser lo más imparcial posible.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando alguien no me toma en cuenta o no me da lo que merezco siento que es algo injusto de su parte. Una vez sentía que mi novia no daba lo suficiente asi que platicamos de la situación, al principio mi reacción fue de enojo pero conforme platicábamos me calmé y todo se solucionó.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Me enojé pero como ya no podía cambiar los hechos, lo dejé así",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Mis padres, siempre han sido algo estrictos y jamás di razones para eso. Pero con los permisos era un tema. De pequeño siempre hacia berrinche y me enojaba días. Pero como salí de mi casa algo joven, esas cosas dejaron de suceder",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En un campeonato nacional de gimnasia obtuve el mismo resultado que un compañero, por lo cual se nos debía otorgar a los dos la medalla de segundo lugar, sin embargo, por falta de plantación por parte del comité organizador, la medalla se le otorgó a mi compañero y a mi no por mayor puntaje en el all around. Y la verdad me sentí un poco triste porque yo sabía que teníamos la misma nota, pero lo tomé con calma y como aprendizaje",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"me decepcionó, pero se entiende que no todos somos iguales y que no todo nuestro círculo merece 100% todo lo que hacemos por alguno de ellos",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Una persona decidió retirarse en un proyecto en el qué habíamos trabajando mucho tiempo y sin explicaciones, solo acepte su decisión aunque evidentemente pedí una justificación después de lo que llevábamos avanzado y tal no había mucho más que hacer",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Se la pasaban prohibiéndome hacer cosas como sentarme porque ""no estaba permitido"", sin embargo, habian otras personas que si lo podian hacer, pero era porque le hacian muchos favores a la persona encargada en ese momento y esa persona no les decia nada porque lo ''ayudaban'' pero como yo no cedia a las peticiones que esta persona me decia(porque a mi no me correspondian y tenia otras que hacer) pues yo si me llevaba los regaños por cosas que la mayoria si estaba haciendo. Unicamente decidi salirme de ahi, no podia hacer mas, al parecer mi palabra no pesaba nada a comparacion de lo que la otra persona pudiera decir de mí.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Un amigo, que si bien nos apoyamos en las tareas y ello, pero últimamente se enojaba si le preguntaba cosas de las tareas, pero no fuera que él me preguntara porque entonces si, era muy amable... Y siempre lo ayudo sin problema, pero parece que a veces el tiene problemas en ayudarme...",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me dio igual,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Sentí enojo, traté de hacerle ver la situación pero cómo no hubo una respuesta agradable preferí alejarme",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Solo aprendí en no confiar demasiado,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Después de las diferencias que tuvimos ya no nos volvimos a ver, su forma de pensar de él y la mía no eran muy compatibles que digamos y la verdad que cada quien estaba mejor por su lado.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"De igual forma, en el bachillerato, un profesor tenía mucha preferencia sobre una compañera, al dar calificaciones finales ella tenía mayor calificación que yo aún teniendo menos cosas que yo, fue algo que me llenó de coraje e hice saberle al profesor mi descontento",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En casa soy la hermana mayor y no tengo una buena relación con mi papá ,tengo una hermana menor y ella si tiene esa relación buena y sana con mi papá ,lo que a mí me llega a parecer injusto es que le dé preferencia a ella en todo ,cuando intento hablar del tema con papá ,las cosas terminan mal ,me hace sentir molesta ,triste , porque al final me duele que las cosas no sean igual entre ambas y que el no pueda cambiar esa parte ,y trato de evadirlo para no sufrir por así decirlo ,pero aún así sigue doliendo",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"igual, me sentí demasiado mal pero permití que pasara por querer a alguien",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me sentí triste al darme cuenta que esa persona no pensaría en que eso me lastimaría a mí y que si fuera el sentido contrario yo no hubiera hecho lo mismo por ella,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Pues me sentí triste ya que siempre me he esforzado por ser alguien sobresaliente y que alguien diga que está mal solo por qué se cree el mejor pues como que no. Y ni para demostrar que el tenía el error ya que era tenerlo de enemigo directo.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Cuando no recibí reconocimiento después de un gran esfuerzo. Se siente una frustración y enojo en ocasiones.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando revisaron cosas privadas y lo estuvieron gritando una semana en el salón, la verdad quería meterles unos golpes pero no lo hice",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En el trabajo,  al no tomar en cuenta lo que realizaba y solo decidir a corde a su conveniencia. Más que nada me sentí triste y frustrada y entre más lo pensaba, cambiaba a enojo y decepción.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Sentí una gran decepción, por qué yo admiraba a esa persona",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me quedé callada y solo acepté lo que me decía,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"me senti triste, ya no confie mas en esa persona y la aleje de mi vida",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Intervenir y obtener respuestas,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Pues entendi que las personas te tratan como te ves, trate de no tomarle importancia",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"cuando daba muchas cosas y la otra persona no era equitativa, y pues se pierde interés y amor",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Si, afronte los hechos y exigí justificación después aproveche la situación.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Hubo ocasiones en las que sentí que mi esfuerzo no fue reconocido, o que alguien tomó decisiones sin tener en cuenta mi punto de vista. En esos momentos, me sentí frustrado, pero traté de mantener la calma y expresar mi opinión de manera constructiva para buscar una solución.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Si, no obtuve lo que otros tuvieron con menos esfuerzo y fue algo desepcionante",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Se llevaron mi billete, no hice nada",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Una materia reprobada injustamente, reaccioné con molestia pero no pudimos hacer nada, simplemente aceptarlo y volver a cursarla después.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Enojo y frustración,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando pase con 9 después de esforzarme y cuando unos chicos robaron el proyecto del profe y pasaron con 10, me enojé muchisimo",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Fue con una ex , yo si tenia que dar detalles, ser atento, pero ella no ponia el minimo interes en mi, y me sento decepcionado, enojado, triste , y termine la relaciob",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando son cosas acerca de mi no tengo tantos problemas, obvio si hago comentarios acerca de esa situación, pero reacciono de una forma tranquila",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Reclame, le lleve la contraria",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
No lo recuerdo,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Reclamo cosas que no hice, al momento me defendí pero después solo lo tome con calma y le dije que pensara las cosas y después conversáramos de eso",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Me bajaron calificación por culpa de un compañero que se colgó de mi trabajo, trate de razonar con el profesor pero el profe no hizo nada, me enoje bastante ya que debí sacar a ese compañero desde el inicio de mi equipo.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando me acusaron de cometer una falta de respeto hacia un profesor y desconocer la razón de esa acusación en la que yo era totalmente consciente de que era mentira y que a pesar de no tener ningún tipo de antecedente en ese tipo de problemas, ser acusado y ser inocente es frustrante",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Recuerdo una vez que no me nombraron en un proyecto, me sentia molesta con mi equipo  ya que yo había apoyado y estado al pendiente. Hable con el profesor y mis compañeros, que al final me pidieron una disculpa.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
En un proyecto a la maestra no le pareció bien y yo me senti mal xq me esforcé mucho y me desvelé para hacerlo bien y a ella no le gustó,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Indiferente, después se le devuelve",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me sentí traicionado pero lo dejé pasar,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Recuerdo que cuando entré al bachiller tuve una novia después de mucho tiempo y pues me fue infiel y pues yo pues en su momento lo daba todo entonces ella de alguna manera pues me traicionó y sentí que fue muy injusto,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Recuerdo una vez en la que trabajé mucho en un proyecto en equipo, pero al final no reconocieron mi esfuerzo. Había dedicado tiempo extra, asegurándome de que todo estuviera bien, mientras algunos compañeros apenas hicieron lo mínimo. Cuando presentamos el proyecto, el crédito se repartió de manera equitativa, como si todos hubiéramos trabajado igual, y eso me pareció completamente injusto.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
LO HABLÉ CIN PSICOLOGOS PERO EVITÉ EL TEMA CON LA PERSONA. SIENTO QUE NO MERRZCO VARIAS COSAS,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Sentía remordimiento y enojo sobre la persona, no rechiste sobre ello pero ya no me empeze a llevar con esa persona cortando lazos y juntando me con otra gente",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Casi siempre no suelo reaccionar de mala manera solo me enojo y ya,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando por el simple hecho de no caerle bien a un profesor me reprobó, fue algo injusto y reaccione con enojo",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Muy molest@,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me aleje de esa persona,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Nada,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En un projecto, me dejaron hacer gran parte del trabajo y me molestó pero vi lo positivo, aprendí más que ellos y eso me ayudo",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Que siempre hay que tener cuidado de las personas con las que te rodeas,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Sentí enojo y frustración al ver como proyectos menos elaborados ganaban premios mejores a comparación del proyecto que mi equipo y yo habíamos propuesto.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En un restaurante me trataron de manera irrespetuosa siento que fue injusto ya que solo era un cliente y debieron de atenderme bien, me retiré del lugar apenas terminé mi comida",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Ocurrió que yo confíaba mucho en esta persona, pero nunca me vio como alguien capaz a hacer las cosas, no confío en mis capacidades, me hizo a un lado, me desperdicio. Me sentí muy inferior, incapaz de hablar al respecto",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me aleje de esa persona y ya no confiar en esa persona,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Descripción y traición pero tratando de perdonar,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
La mayor parte de las veces cuando me llega a ocurrir eso me hace sentir muy mal y tener un pensamiento negativo hacia mi persona,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Por ayudar a alguien me afectó a futuro, lo dejé pasar y mejor solo dejé de ayudarlo si lo necesitaba",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En primer semestre cuando tuve introducción a la programación el maestro que nos tocó nos reprobó a la mayoría por no saber hacer los ejercicios que pedía pero tampoco enseñaba, solo decía que venía en las diapositivas, fue una situación de frustración que me reprobaran cuando yo puse de mi empeño y el maestro no le importaba",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Creo que en su momento, los logros personales, por más esfuerzo que se hiciera, no eran reconocidos",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Reaccióne con tranquilidad, sabiendo que no son cosas que no puedo controlar",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Mi mejor  amigo no tuvo la confianza de contarme lo que sentía y lo que le sucedía entonces un día me di cuenta que  todos lo sabían menos yo. Me sentí como de sobra en ese grupo de amigos entonces yo me alejé y les dejé de hablar sin darles explicaciones.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Antes de la pandemia en el 2020 con mis hermanos tuve varios problemas, ya que me sentía un poco excluido en mi familia, es decir que tenían siempre preferencias a ellos y a mi siempre me dejaban al último. Siempre me comparaban con alguien más.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cuando estaba por cuarto de primaria, un día en el comedor general de la escuela un profesor interrumpió el momento en el que mi grupo y yo nos disponíamos a comer, la razón fue porque mis papás en esa semana no habían pagado lo correspondiente a esa semana de almuerzo y me saco frente a todos exhibiendo la situación por la que se me impedía comer, como era de esperarse llore por pena y frustración, porque ahora que eh crecido se que este tipo de acciones no deberían de suceder, se que fue injusta la desición del profesor y director de la primaria en ese entonces.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"No cumplió con los acuerdos que habíamos hecho y al darme cuenta me enojé y le dije, aunque no solucionó nada",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Esto pasó en un trabajo en el que estuve y fue que como yo era cajera y llevaba aproximadamente ahí un añocuando entró una chica nueva como a los dos meses que entró esta chica la mueven a cajas también y en el momento de hacerle el arqueo de la caja le hacen falta 820 pesos y siempre que había un faltante pues teníamos que firmar una carta responsiva en donde tenían que descontarnos la cantidad que nos hacía falta en nuestros arqueos.
Pero yo noté que desde que entró esta nueva chica no se empezaban a tratar diferente a los demás empleados y por lo que notaba porque yo también estaba en cajas era que a la chica siempre le hacía falta dinero en su caja pero lo que se me hacía raro es que como yo estaba en caja y también en el archivo nunca vi las cartas responsivas de ella para que pagara los faltantes entonces abre esto con el gerente y desde que le dije se puso muy grosero y me dijo que simplemente yo no tenía que meterme en donde no me hablaban ni en lo que no me importaba que simplemente me dedicará a lo mío y dejara de revisar el archivo pero yo lo hacia porque pues era mi trabajo y eso era lo que me indicaban los jefes de piso y total que a las 15 días me hicieron firmar mi renuncia y no me pagaron nada ni siquiera mi sueldo de esa quincena.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Mi amigo de la infancia siempre me pedía ayuda, favores, etc y nunca le dije que no y nunca le cobre, pero después de 10 años yo ocupe un favor de el no me quiso hacerlo y al final me lo hizo pero de mala gana y todavía bajo amenazas y termine cortando comunicación con el después de pagarle el favor",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Cuando me echaron la culpa de un robo y yo jamas seri capaz de ello me senti avergonzada aun sin haber echo nada no pude ni defenderme solo me aleje,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"En un trabajo de clase, nosotros hicimos más que otro equipo y lo calificaron mejor, pues reaccione con un disgusto y confusión pero no pasó de eso",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Reprobar porque no le caia bien a un profesor, fui a reportarlo pero no ocurrio nada y reprobe igualmente.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Cada que quedaba de salir con un amigo siempre llegaba tarde, en una ocasión yo llegue tarde y el estaba muy indignado y molesto. Yo le pedí perdón y le dije que en otras ocasiones yo lo había esperado sin problema y solo se molestó más por recordar eso. Yo mantuve mi postura aceptando mi error pero fue indignante su actitud.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Varias veces me ha pasado que hago limpieza a fondo en el departamento, intento que quede impecable. Y luego mis roomies al otro día ya lo tienen todo sucio. Me parece muy injusto que yo pase tanto tiempo limpiando y ellas ensucien en 5 minutos y no hagan nada al respecto. Me causa demasiado enojo. Cuando pasa siempre les comento y les digo ""no se pasen"".",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Una chica que me gustaba me dijo que soy celoso por dos cosas que nada que ver conmigo y por eso no quería estar conmigo, sabía que era una excusa por qué ella no sabía lo que quería pero lo que realmente me impacto fue que le dije que yo no era así y ella contesto que no me creía. Nunca eh hecho algo para traicionar su confianza y siempre la apoye en todo. Eso sí me dolió y sentí que la confianza se rompió",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Me enojé, pero al final dejé que pasara",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Invalidar mis emociones. Mi primera reacción es enojo seguido de tristeza.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Me genera mucho odio hacia la persona que opto por dejar de verlo por el resto de mis días porque recodar a esa persona y la situación me  enferma incluso. Entonces es mejor evitarlo,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Simplemente me aparte de la persona y seguí lo que era correcto para mí,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Simplemente fueron errores de comunicación. Naturalmente me sentí confundido e incrédulo por la situación.,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Trate de mantener la calma preguntando el motivo, después no pude evitar ponerme a su altura al momento de responder.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
Con un profesor que no se tomó el tiempo de revisar mi trabajo y la calificación correspondiente no se me hizo justa,Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
"Me sentí muy mal ya qué yo siempre he sido justo y bueno, y por ende me sentí muy triste.",Ira,7. Piensa en un momento en el que sentiste que alguien fue injusto contigo. ¿Qué ocurrió y cómo reaccionaste? 
